Pais,Ano,ENTR,TUTT,EMPE,Flag_Outlier_Prod,PROD,TAMANHO_MEDIO
BGR,2021,12402.0,5754.920104980469,85507.0,0,0.06730349684798284,6.894613771972263
BGR,2022,13355.0,7104.0499267578125,96348.0,0,0.07373323708595729,7.214376637963309
BIH,2011,61.0,27.968475341796836,481.0,0,0.058146518382114,7.885245901639344
BIH,2012,404.0,254.8446426391599,3168.0,0,0.08044338467145198,7.841584158415841
BIH,2013,411.0,296.5038394927984,3265.0,0,0.09081281454603321,7.9440389294403895
BIH,2014,582.0,379.2354545593264,3546.0,0,0.106947392712726,6.092783505154639
BIH,2015,666.0,401.53191375732473,4330.0,0,0.09273254359291565,6.501501501501502
BIH,2016,714.0,422.45928573608444,4584.0,0,0.09215953004713884,6.420168067226891
BIH,2017,863.0,519.2728729248042,6028.0,0,0.08614347593311285,6.984936268829664
BIH,2018,1004.0,617.2599563598633,7022.0,0,0.08790372491595888,6.99402390438247
BIH,2019,1099.0,791.3287887573242,7986.0,0,0.09908950522881596,7.266606005459509
BIH,2020,1247.0,896.943672180176,9274.0,0,0.09671594481131938,7.437048917401764
BIH,2021,1669.0,1155.504341125491,11375.0,0,0.10158279921982338,6.8154583582983825
BIH,2022,2244.0,1593.90364074707,13795.0,0,0.11554212691171221,6.147504456327986
BRA,2010,50175.0,36984.7919921875,238194.0,0,0.15527171965787342,4.747264573991031
BRA,2011,58403.0,65155.033203125,362122.0,0,0.17992564164321692,6.200400664349434
BRA,2012,63033.0,75278.7197265625,402540.0,0,0.18700929032285613,6.386178668316596
BRA,2013,71433.0,86147.669921875,475382.0,0,0.1812177783800712,6.654935394005571
BRA,2014,75294.0,94448.115234375,489843.0,0,0.19281303445057907,6.505737508964858
BRA,2015,70077.0,104568.03125,502261.0,0,0.20819460648945468,7.167273142400503
BRA,2016,68089.0,110439.130859375,498463.0,0,0.22155933511489317,7.320756656728693
BRA,2017,69332.0,123285.2890625,470095.0,0,0.2622561164498665,6.780346737437259
BRA,2018,71360.0,142418.35546875,498889.0,0,0.28547102756073994,6.991157511210762
BRA,2019,75499.0,155202.55078125,519057.0,0,0.29900868455921026,6.87501821216175
BRA,2020,78771.0,171804.62890625,542472.0,0,0.31670690635876136,6.886696880831778
BRA,2021,81702.0,216379.60546875,642081.0,0,0.33699736554850557,7.85881618565029
CHE,2010,4005.0,16404.865234375,,0,,
CHE,2011,4066.0,18014.818359375,,0,,
CHE,2012,4145.0,20703.677734375,,0,,
CHE,2013,4699.0,20290.375,,0,,
CHE,2014,4967.0,20837.19140625,,0,,
CHE,2015,4828.0,22572.4140625,,0,,
CHE,2016,4901.0,22515.13671875,,0,,
CHE,2017,5066.0,25461.6015625,,0,,
CHE,2018,5100.0,26384.2421875,,0,,
