Pais,Country_Name,Region,Income_Group,Ano,ENTR,TUTT,EMPE,PROD,TAMANHO_MEDIO,Flag_TUTT_Zero_Suspeito,Flag_TUTT_Ausente_Ou_Imputado,Flag_Outlier_Prod,Internet_Usage_Pct,GDP_Per_Capita_PPP,Broadband_Subscriptions,GDP_USD,Secure_Servers
FRA,France,Europe & Central Asia,High income,2021,109745.0,96196.6015625,508375.0,0.1892237060486845,4.632329491092988,0,0,0,86.09548575,52517.3354905855,47.6442336298287,2966433692008.09,39644.0530743928
FRA,France,Europe & Central Asia,High income,2022,127612.0,111619.4833984375,553796.0,0.2015534301411305,4.339685922953954,0,0,0,85.33331734,57042.9449013772,48.250226559098,2794788137066.94,47329.437557888
GBR,United Kingdom,Europe & Central Asia,High income,2010,111178.0,73635.443359375,473358.0,0.1555597314492942,4.257658889348612,0,0,0,85.0,36483.5682802621,30.3960911450969,2496740681057.14,1315.40196727977
GBR,United Kingdom,Europe & Central Asia,High income,2011,120182.0,77695.9169921875,568623.0,0.1366387166755258,4.731349120500574,0,0,0,85.3799985496322,37224.3787645256,32.4187258603211,2675590034128.66,1811.95314929256
GBR,United Kingdom,Europe & Central Asia,High income,2012,124485.0,80338.97265625,550679.0,0.1458907506119717,4.423657468771338,0,0,0,87.4799984242111,38336.5961844419,33.9047903389849,2719715961539.83,2500.1177190752
GBR,United Kingdom,Europe & Central Asia,High income,2013,135108.0,87382.4013671875,608561.0,0.1435885660881777,4.504255854575598,0,0,0,89.8441,39947.5369562562,35.7819878642114,2796908333283.39,2832.02107921857
GBR,United Kingdom,Europe & Central Asia,High income,2014,144056.0,92184.8974609375,603588.0,0.1527281812443877,4.189953906814017,0,0,0,91.6133009176453,41266.8197795309,36.5828488416012,3085362169410.29,3250.15475085113
GBR,United Kingdom,Europe & Central Asia,High income,2015,156889.0,98675.333984375,617816.0,0.1597163783138911,3.937917890992995,0,0,0,92.0002998740234,42515.278865824,37.7214944577347,2945579890258.46,4388.16678957719
GBR,United Kingdom,Europe & Central Asia,High income,2016,165590.0,105584.841796875,737765.0,0.1431144630022771,4.455371701189685,0,0,0,94.7758006318882,44085.2025586772,38.6588569366885,2706807606538.73,8697.02928041215
GBR,United Kingdom,Europe & Central Asia,High income,2017,169753.0,113233.9453125,778454.0,0.1454600340065052,4.585804080045714,0,0,0,90.4245504868553,46113.0211677324,39.2489467665261,2699118387873.1,21225.7223418124
GBR,United Kingdom,Europe & Central Asia,High income,2018,174258.0,128356.3828125,735622.0,0.1744868734383963,4.221453247483616,0,0,0,90.692008988783,47212.2045190522,39.8293995840604,2897028009916.05,27332.2874081673
GBR,United Kingdom,Europe & Central Asia,High income,2019,176642.0,138379.767578125,735622.0,0.1881126007353301,4.164479568845461,0,0,0,92.5166285497138,50064.9605582187,40.022769455921,2875710080015.3,36099.3681619667
GRC,Greece,Europe & Central Asia,High income,2010,6063.0,1343.599998474121,13596.0,0.0988231831769727,2.242454230578921,0,0,0,44.4,27838.73639086,20.2491669415812,296417644404.034,63.9311392394137
GRC,Greece,Europe & Central Asia,High income,2011,5948.0,1101.5,11922.0,0.092392216071129,2.004371217215871,0,0,0,51.6499951676815,25692.5740851321,22.183064232426,283228079776.041,92.8419069817744
GRC,Greece,Europe & Central Asia,High income,2012,5848.0,1073.199981689454,12576.0,0.0853371486712352,2.150478796169631,0,0,0,55.0699934418411,24582.9741957507,24.3424643325153,238841140018.233,162.335736922308
GRC,Greece,Europe & Central Asia,High income,2013,5852.0,1202.59997558594,14836.0,0.0810595831481491,2.5352016404647983,0,0,0,59.8663,25730.8809006664,26.5619364050644,236556279640.705,212.490211086681
GRC,Greece,Europe & Central Asia,High income,2014,12791.0,1965.200012207031,19224.0,0.1022263843220469,1.5029317488859355,0,0,0,63.2073404784561,26450.181326726,28.9729450556431,233911581521.062,277.808048593089
GRC,Greece,Europe & Central Asia,High income,2015,12668.0,1910.899963378911,18719.0,0.1020834426720931,1.4776602462898645,0,0,0,66.8349594911035,26607.7256796976,31.7813956931321,194567373678.099,409.948060615756
GRC,Greece,Europe & Central Asia,High income,2016,12235.0,1859.80004882813,20398.0,0.0911756078452853,1.6671843073150796,0,0,0,69.0879154723892,27504.5497984948,33.5485838991847,193097239005.87,1411.84492794199
GRC,Greece,Europe & Central Asia,High income,2017,10470.0,2209.799957275396,21845.0,0.1011581578061522,2.086437440305635,0,0,0,69.8929706543154,28681.6815585005,35.1351318678243,200381103984.298,3695.69375338864
GRC,Greece,Europe & Central Asia,High income,2018,10274.0,2215.5,24313.0,0.0911240899930078,2.3664590227759392,0,0,0,72.2383733920483,29792.0592519585,36.9203391643751,213298873494.394,5035.36701512231
GRC,Greece,Europe & Central Asia,High income,2019,10589.0,2393.69995117188,26084.0,0.0917688986034304,2.463310983095665,0,0,0,75.6712066931757,31927.3792151369,38.3565690069278,207305649887.019,6647.33991681452
GRC,Greece,Europe & Central Asia,High income,2020,11417.0,2518.1998901367188,28293.0,0.0890043434820174,2.478146623456249,0,0,0,78.11584474,29533.087740299,39.7876360746134,191362985554.861,8907.70838312568
GRC,Greece,Europe & Central Asia,High income,2021,13617.0,2980.409973144536,32242.0,0.0924387436618242,2.367775574649335,0,0,0,78.49426371,33531.15511226,41.9213046741732,218303801895.326,11384.3924146816
GRC,Greece,Europe & Central Asia,High income,2022,16072.0,4016.65991210938,42183.0,0.0952198732216622,2.6246266799402687,0,0,0,83.17066333,39612.4406377916,42.923040428409,217990189600.69,13068.1749587664
HRV,Croatia,Europe & Central Asia,High income,2010,3472.0,687.900024414063,9906.0,0.0694427644270202,2.853110599078341,0,0,0,56.55,20139.2955371548,19.4799756808943,58975205417.3439,117.799697212873
HRV,Croatia,Europe & Central Asia,High income,2011,3539.0,858.3000259399419,12524.0,0.0685324198291234,3.5388527832721106,0,0,0,57.7899789891444,21190.7130553097,20.8566154553422,62889007657.3899,172.638462354303
HRV,Croatia,Europe & Central Asia,High income,2012,3636.0,838.9999771118169,13065.0,0.0642173729132657,3.5932343234323434,0,0,0,61.9399731527956,21618.825625842,21.581851768721,57548115904.416,313.587934187845
HRV,Croatia,Europe & Central Asia,High income,2013,3894.0,916.0000152587888,14373.0,0.0637306070589848,3.6910631741140216,0,0,0,66.7476,22429.8502256715,22.5042534905966,59846265181.8502,398.920905959061
HRV,Croatia,Europe & Central Asia,High income,2014,4073.0,850.199989318848,15333.0,0.0554490308040727,3.76454701694083,0,0,0,68.5678992528467,22706.1799469484,23.3319089868678,59606934500.9957,505.045937283862
HRV,Croatia,Europe & Central Asia,High income,2015,4328.0,969.1999740600588,16282.0,0.0595258551811852,3.762014787430684,0,0,0,69.8450359238281,23749.636747943,23.5726310188829,50998893384.8289,643.587906231747
HRV,Croatia,Europe & Central Asia,High income,2016,4562.0,1071.89998626709,17205.0,0.0623016556970119,3.7713722051731695,0,0,0,72.6972696701463,25802.6823323622,25.2341141328155,52650714171.8617,1752.91773510075
HRV,Croatia,Europe & Central Asia,High income,2017,4844.0,1331.100006103516,19554.0,0.0680730288484973,4.036746490503716,0,0,0,67.0961920368478,27887.7588440919,26.865096097274,56182782585.9052,14908.4217451991
HRV,Croatia,Europe & Central Asia,High income,2018,5310.0,1591.799972534182,21783.0,0.0730753327151532,4.1022598870056495,0,0,0,75.2946259897258,29789.1305400916,28.0156020023514,61667925219.0755,20040.4886211932
HRV,Croatia,Europe & Central Asia,High income,2019,8365.0,1909.499954223638,24461.0,0.0780630372521008,2.924208009563658,0,0,0,79.0797836757554,33063.9101734438,28.9682951804841,61466721186.3116,23423.1109107989
HRV,Croatia,Europe & Central Asia,High income,2020,8917.0,2015.299957275396,26361.0,0.0764500571782328,2.956263317259168,0,0,0,78.32090004,31594.0111922141,26.0744550144438,57959843541.3699,23114.2663416284
HRV,Croatia,Europe & Central Asia,High income,2021,10033.0,2636.169891357427,32935.0,0.0800415937864711,3.2826671982457887,0,0,0,81.25396608,36930.2841941405,26.7157501000099,69002365163.3368,25479.3720309535
HRV,Croatia,Europe & Central Asia,High income,2022,10970.0,3111.100006103516,37200.0,0.0836317205941805,3.391066545123063,0,0,0,82.07155532,42125.0726930931,27.6606739600213,71196498671.1145,29826.9470627582
HUN,Hungary,Europe & Central Asia,High income,2010,24338.0,974951.3125,43894.0,22.21149388299084,1.803517133700386,0,0,1,65.0,21690.9866477738,21.639373536508,131898737241.166,167.699614290887
HUN,Hungary,Europe & Central Asia,High income,2011,24632.0,1048559.40625,45396.0,23.098057235218963,1.842968496265021,0,0,1,68.0199878861296,22992.2184657584,23.2549245597223,141712804953.868,217.815830698133
HUN,Hungary,Europe & Central Asia,High income,2012,24081.0,1114422.421875,50256.0,22.17491288353629,2.0869565217391304,0,0,1,70.579998153838,23205.310668404,24.1618038721448,128470269689.958,393.130815185978
HUN,Hungary,Europe & Central Asia,High income,2013,22909.0,1201314.15625,51941.0,23.12843719316147,2.2672748701383734,0,0,1,72.6439,24591.6380503055,26.2621916555453,135646053778.582,516.472944576447
HUN,Hungary,Europe & Central Asia,High income,2014,25437.0,1295408.953125,56724.0,22.837052272847476,2.229979950465857,0,0,1,75.6531974544103,25796.2100959256,26.164233392363,141128696412.321,670.393015871595
HUN,Hungary,Europe & Central Asia,High income,2015,27176.0,1461557.0,59849.0,24.42074220120637,2.202274065351781,0,0,1,72.8347370323805,26937.7320818864,27.6322359587573,125244126623.289,930.825479918614
HUN,Hungary,Europe & Central Asia,High income,2016,28603.0,1527582.140625,63445.0,24.077265988257547,2.218123973009824,0,0,1,79.2594121273057,28178.9450366919,28.6887907811727,128983560865.293,4148.87463875886
HUN,Hungary,Europe & Central Asia,High income,2017,30679.0,1827560.28125,67267.0,27.16874962834674,2.1926073209687407,0,0,1,76.7505471201922,29728.0121568801,30.2136178819417,143335098991.862,13712.8966738756
HUN,Hungary,Europe & Central Asia,High income,2018,33721.0,2002087.15625,67666.0,29.58778642523572,2.0066427448770794,0,0,1,76.0743606365063,32258.2577892511,31.5062908247816,161184691013.835,19379.9008629269
HUN,Hungary,Europe & Central Asia,High income,2019,37360.0,2234973.5625,69544.0,32.13754691274589,1.861456102783726,0,0,1,80.3716936050482,35627.2315520858,32.6466329851573,164936682033.992,26447.1020825133
HUN,Hungary,Europe & Central Asia,High income,2020,39063.0,2504693.5,72236.0,34.6737568525389,1.849217930010496,0,0,1,84.77115202,35583.5855675637,33.4922037196533,158468487754.196,33083.571663234
HUN,Hungary,Europe & Central Asia,High income,2021,43709.0,2848129.5,78739.0,36.17177637511272,1.80143677503489,0,0,1,88.64083466,38887.1909527154,34.8391868436369,183282685440.486,42102.778838019
HUN,Hungary,Europe & Central Asia,High income,2022,44639.0,3284918.65625,83048.0,39.554458340357385,1.86043594166536,0,0,1,89.14282688,44365.9108128343,36.5338104764554,177002580544.155,51406.6835924429
IRL,Ireland,Europe & Central Asia,High income,2010,7654.0,30585.099609375,29705.0,1.0296279956025922,3.8809772667886073,0,0,0,69.85,43212.2040003212,22.3721452573765,221732824603.484,959.397213471911
IRL,Ireland,Europe & Central Asia,High income,2011,7619.0,28823.900390625,29705.0,0.9703383400311396,3.8988056175351096,0,0,0,74.8899729670944,45525.7181239042,23.3814204815178,240975871046.644,1508.05094404382
IRL,Ireland,Europe & Central Asia,High income,2012,8609.0,47855.798828125,36893.0,1.2971511893346976,4.285399001045418,0,0,0,76.919992540097,46726.2157665366,24.1750019347271,226921827888.137,2466.77217013119
IRL,Ireland,Europe & Central Asia,High income,2013,8965.0,52785.998046875,40993.0,1.2876832153507916,4.572559955382041,0,0,0,78.2477,48838.7719825525,25.7144376937159,242924245718.756,2641.75737096805
IRL,Ireland,Europe & Central Asia,High income,2014,9131.0,57681.298828125,46179.0,1.2490807256139154,5.057386923666631,0,0,0,83.4917223351728,52640.7843918553,27.0221858517779,266490442124.309,2807.79949074014
IRL,Ireland,Europe & Central Asia,High income,2015,9074.0,51484.5,44388.0,1.159874290348743,4.891778708397619,0,0,0,83.4947916666667,71588.2656638378,27.8462651784045,302101388556.271,3194.41458099255
IRL,Ireland,Europe & Central Asia,High income,2016,9253.0,45969.8984375,50191.0,0.9158992336773524,5.424294823300551,0,0,0,83.5,73012.8198720374,28.6147710435862,305431252708.748,11725.2277164193
IRL,Ireland,Europe & Central Asia,High income,2017,9986.0,48145.80078125,55100.0,0.8737894878629764,5.517724814740637,0,0,0,84.1140070623844,80450.3529336506,29.0794615926246,348355212568.515,38437.1028566871
IRL,Ireland,Europe & Central Asia,High income,2018,10104.0,56837.19921875,59639.0,0.9530206612912692,5.902513855898654,0,0,0,87.0001401148942,86299.3420216976,29.3513301848147,395780319816.603,69157.3047242336
IRL,Ireland,Europe & Central Asia,High income,2019,10443.0,74745.6015625,66160.0,1.129770277546856,6.335344249736666,0,0,0,87.0000552425146,92022.59879983,29.6453160652366,407211793800.713,94607.6886844775
IRL,Ireland,Europe & Central Asia,High income,2020,10927.0,83011.8984375,70143.0,1.1834666101749285,6.419236752997163,0,0,0,91.99989097,97799.9225748607,30.4353384554187,436009027818.948,114566.465340423
IRL,Ireland,Europe & Central Asia,High income,2021,12623.0,108681.046875,89270.0,1.2174419947910833,7.072011407747762,0,0,0,93.50610352,116903.61243517,31.3616427884193,530394123829.763,113930.009969504
IRL,Ireland,Europe & Central Asia,High income,2022,13062.0,122430.703125,101118.0,1.210770615765739,7.741387230133211,0,0,0,95.03690338,138522.517800204,31.5362809040128,548341794599.09,134764.070843587
ISL,Iceland,Europe & Central Asia,High income,2015,998.0,81181.869140625,4086.0,19.868298859673278,4.094188376753507,0,0,1,98.19999695,49201.0640964553,37.5994101863714,17700486957.1907,7611.50491966809
ISL,Iceland,Europe & Central Asia,High income,2016,1114.0,93940.4853515625,4453.0,21.095999405246463,3.997307001795332,0,0,1,98.23999786,53480.3971946764,38.150452657238,21083713310.457,35663.7123292163
ISL,Iceland,Europe & Central Asia,High income,2017,1148.0,100578.576171875,4460.0,22.55125026275224,3.8850174216027873,0,0,1,98.2552011867973,55638.4920591794,39.1883119718453,25060086487.8901,57638.322655795
ISL,Iceland,Europe & Central Asia,High income,2018,1157.0,117236.763671875,4379.0,26.77249684217287,3.7847882454624022,0,0,1,99.0109539916991,57197.7676247175,39.1065426493677,26677652544.3499,64762.2341737521
