Pais,Ano,ENTR,TUTT,EMPE,Flag_Outlier_Prod,PROD,TAMANHO_MEDIO
FRA,2015,1.6176241172856014,-0.16189284806997176,1.6193967268634895,0,-0.32135444237934296,0.26216314324141765
FRA,2016,1.636829535055567,-0.15219862769149212,1.6390017663743213,0,-0.32053250241049047,0.26371732511332663
FRA,2017,1.6173391704344149,-0.11586031847043368,1.858646081052856,0,-0.31888374449773316,0.543356902948576
FRA,2018,1.7687029377846495,-0.13282344830330128,1.6843425927118016,0,-0.3189866717301195,0.17515066395253265
FRA,2019,1.977227043482883,-0.11175086606387931,1.8044039881951344,0,-0.3180262811297689,0.1017307847019902
FRA,2020,2.0839396392522027,-0.10523501251379795,2.0122318715680483,0,-0.31918120692889834,0.21222910871874626
FRA,2021,2.3376278208634864,-0.07556294649572688,2.1576730032172198,0,-0.31781005283254543,0.12962948186178075
FRA,2022,2.8467423598782906,-0.03204804766693675,2.410363269852151,0,-0.3163463195282236,-0.0318141772285257
GBR,2010,2.3784607046385027,-0.13921813928736873,1.962863222130159,0,-0.32180649917696624,-0.07706630606833834
GBR,2011,2.635026849446769,-0.12776171362007932,2.4928501940369143,0,-0.32405272295847803,0.18425597304005892
GBR,2012,2.7576394795122923,-0.1203044626961602,2.3930224900124055,0,-0.3229543601643106,0.0145106871873803
GBR,2013,3.0603385195276425,-0.1004317767076009,2.715036932965293,0,-0.3232276658875292,0.058974669101481594
GBR,2014,3.315308961969265,-0.08688177134101385,2.6873706839620675,0,-0.3221426489810255,-0.1144173409417146
GBR,2015,3.6809812560968176,-0.06856932547801284,2.766525196493315,0,-0.32131303943655376,-0.2534588954014274
GBR,2016,3.9289135113141342,-0.04907449068539472,3.433836457641097,0,-0.32328394942407157,0.032006584190747735
GBR,2017,4.047536885463048,-0.02749292317070514,3.6602012285424137,0,-0.3230054930392573,0.10396265225087335
GBR,2018,4.175905441922537,0.01517428681360849,3.4219143237955483,0,-0.3195595479980627,-0.09703999399036732
