Pais,Ano,ENTR,TUTT,EMPE,Flag_TUTT_Zero_Suspeito,Flag_TUTT_Ausente_Ou_Imputado,Flag_Outlier_Prod,PROD,TAMANHO_MEDIO
EST,2011,-0.7274884679787622,-0.3460356974754408,-0.6254192401677958,0,0,0,-0.33508194668677427,-0.369432325370978
EST,2012,-0.7209916797717114,-0.34585567475708806,-0.621558315814641,0,0,0,-0.33471474403928414,-0.4051922296225604
EST,2013,-0.7100212260010337,-0.34542367656661804,-0.6181813978285244,0,0,0,-0.3332108943817259,-0.5640051054575792
EST,2014,-0.7054620763820507,-0.34514489532787407,-0.6132245050350649,0,0,0,-0.33277513284314325,-0.49836279003571693
EST,2015,-0.6937507607982882,-0.3449324232811354,-0.6096584351353931,0,0,0,-0.3324597164919936,-0.6288522426690537
EST,2016,-0.6873964460168307,-0.3446090595104567,-0.6065874981859098,0,0,0,-0.3317025052460511,-0.6556957940018827
EST,2017,-0.6696727518730344,-0.3466592873048304,-0.6566626856538436,0,0,0,-0.33152510480225367,-2.098072474663188
EST,2018,-0.6581608990851024,-0.34313304217763857,-0.5872049903380839,0,0,0,-0.32979724723014464,-0.6327351871317666
EST,2019,-0.6400952687198824,-0.34205996000757033,-0.5751994071189082,0,0,0,-0.3286156017477774,-0.6224998269383127
EST,2020,-0.6232264151296455,-0.34129951889681015,-0.5616583554249908,0,0,0,-0.3285626174074836,-0.5753464354749472
EST,2021,-0.5492257178765282,-0.33908453364665253,-0.5502758608622319,0,0,0,-0.32546029502233065,-1.0113756468568103
EST,2022,-0.5009842159706647,-0.3350424022539133,-0.5313829226730192,0,0,0,-0.3208160063494818,-1.06284957983834
FIN,2010,-0.6254774952540183,-0.3292315041115168,-0.41682918584908596,0,0,0,-0.3247190322998414,1.9446936097572787
FIN,2011,-0.618866728306493,-0.3301113021381623,-0.4303312945019773,0,0,0,-0.32464243446704566,1.5518276549106682
FIN,2012,-0.6137946743553745,-0.3284594948982407,-0.41527702749961887,0,0,0,-0.32411205724841663,1.6790853719400254
FIN,2013,-0.606471540279883,-0.32470751543813386,-0.39819772236390544,1,1,0,-0.32196701668993877,1.7785040051022518
FIN,2014,-0.6029666940102899,-0.320955535978027,-0.381118417228192,0,0,0,-0.32007511961245294,1.958204330888064
FIN,2015,-0.5933069957550697,-0.3179112326490657,-0.3744369040464357,0,0,0,-0.31814795451437283,1.8385941234870296
FIN,2016,-0.5902010750771376,-0.31594001179155984,-0.3556997380213273,0,0,0,-0.3180621792827213,2.0377660251184846
FIN,2017,-0.5798290096939513,-0.3127983631468703,-0.3267316787895163,0,0,0,-0.31788389296164155,2.2073272307082163
FIN,2018,-0.5754408281856802,-0.31599531755152904,-0.3170849311982045,0,0,0,-0.320641460389964,2.239683190933183
FIN,2019,-0.5638149966572736,-0.31383419863598966,-0.3010737780449201,0,0,0,-0.32016889966417317,2.1998113598763203
FIN,2020,-0.5507074415026977,-0.311880472014803,-0.2862364794139925,0,0,0,-0.3197959539743032,2.121480106492898
FIN,2021,-0.3730430797879552,-0.3105147263663079,-0.30062315142733287,0,0,0,-0.3180938743140512,0.08404017477001867
FIN,2022,-0.35731401360246395,-0.30858354385343656,-0.2795549662322362,0,0,0,-0.3181899365406981,0.13043544706054955
