Pais,Country_Name,Region,Income_Group,Ano,ENTR,TUTT,EMPE,PROD,TAMANHO_MEDIO,Flag_TUTT_Zero_Suspeito,Flag_TUTT_Ausente_Ou_Imputado,Flag_Outlier_Prod,Internet_Usage_Pct,GDP_Per_Capita_PPP,Broadband_Subscriptions,GDP_USD,Secure_Servers,ENTR_model,TUTT_model,EMPE_model,PROD_model,TAMANHO_MEDIO_model,GDP_Per_Capita_PPP_model,Broadband_Subscriptions_model,GDP_USD_model,Secure_Servers_model,Internet_Usage_Pct_model
NLD,Netherlands,Europe & Central Asia,High income,2017,71901.0,43198.5,183193.0,0.2358086826461709,2.547850516682661,0,0,0,93.1972789115646,56037.567993606,42.0988982620643,848233537845.884,70412.1276055238,0.9010439581538967,0.22754253508673888,0.6154996347752836,0.053454013323971615,-0.6985753560085368,0.6755999111574246,0.816283004551579,0.5443302506846709,0.8730190823875301,0.6468459059114353
NLD,Netherlands,Europe & Central Asia,High income,2018,76221.0,46729.49853515625,196386.0,0.2379471985536456,2.5765340260558114,0,0,0,91.8918918918919,58819.2609142584,42.5152457224727,929733599796.862,100581.523830836,0.9298162327764796,0.2490895833149675,0.6494813806900077,0.056723610829876446,-0.6837183243238694,0.7553441961778099,0.8384390817963282,0.5830504871782821,0.9756538031905728,0.5795310111853009
NLD,Netherlands,Europe & Central Asia,High income,2019,80225.0,51590.1005859375,207427.0,0.248714490331237,2.585565596759115,0,0,0,93.2885906040269,62345.2538465433,42.5292659897442,928903005576.469,130279.470464876,0.9550633388178278,0.27622689383670823,0.6762093423173609,0.0731004857702796,-0.679064950644566,0.8511719469968688,0.8391814807075852,0.5826732679853693,1.0501149002111363,0.6515545761163114
NLD,Netherlands,Europe & Central Asia,High income,2020,83715.0,51701.19921875,217578.0,0.2376214471074741,2.5990324314638955,0,0,0,91.33333333,62596.6302027524,42.6667277513049,932560861701.17,136862.999168649,0.976062092387857,0.2768168343708423,0.6995561210384539,0.05622593113591523,-0.6721481010252083,0.8577953296620152,0.8464476942424165,0.5843319834806147,1.0643036753198662,0.5507278208474946
NLD,Netherlands,Europe & Central Asia,High income,2021,84310.0,55496.759765625,228869.0,0.242482641885205,2.714612738702408,0,0,0,92.05298013,68573.5648786446,42.9460563127039,1054472123449.6,164133.506993994,0.9795545601751839,0.2962451159214269,0.724278188786998,0.06363924197311345,-0.6138263053356084,1.0079045586800626,0.8611427675950971,0.6361861794139076,1.1165993578264153,0.5878378486415088
NLD,Netherlands,Europe & Central Asia,High income,2022,90205.0,66288.5908203125,246655.0,0.2687502415126898,2.7343827947453025,0,0,0,92.51968504,78630.3599072098,43.5643185557355,1046540797548.64,181183.789690312,1.0128821596316817,0.3449760859448606,0.7608493107477811,0.10320211098685732,-0.6040323983164874,1.2331630553813857,0.893339220791268,0.6329996460551035,1.1450445225439991,0.6119044215515853
NOR,Norway,Europe & Central Asia,High income,2010,8583.0,62539.99755859375,36168.0,1.7291527747896966,4.213911219853198,0,0,0,93.39,58213.1333665855,35.2484740738801,431052143940.438,1557.29342647914,-0.14705964713176847,0.3290120224939709,-0.17726521151639493,1.5516870796960898,0.011758262573496707,0.7382942021707795,0.41735927739437784,0.2586296653435634,-0.22378551298252378,0.6567839546157868
NOR,Norway,Europe & Central Asia,High income,2011,8643.0,76293.482421875,39508.0,1.9310894609161435,4.571097998380192,0,0,0,93.4899826515194,62460.0908157002,36.0526456056247,501360549669.404,2333.89756047137,-0.14362477286218925,0.3835263330786061,-0.13410429509405197,1.6866775485237302,0.13401660019202857,0.8542010325369276,0.4679275284985351,0.32240071398241,-0.10739955051309479,0.6619397601815228
NOR,Norway,Europe & Central Asia,High income,2012,8963.0,80238.4716796875,41172.0,1.948860188470016,4.593551266317081,0,0,0,94.6499780533304,65774.3520746224,37.0178249972402,512777309840.997,3000.05599201207,-0.12569889348113258,0.3973524666490661,-0.11394525381491091,1.6981082126447498,0.14143789749917057,0.9393034387319399,0.5271907501448695,0.3319037760042608,-0.035158911927270595,0.7217572450951435
NOR,Norway,Europe & Central Asia,High income,2013,9292.0,87082.9599609375,42403.0,2.0536980864782564,4.563387860525183,0,0,0,95.0534,67377.9262258772,37.6116803448105,526014468085.106,3211.2619381399,-0.1079240329737842,0.4198015253621895,-0.09954950359196436,1.7641721760862463,0.1314613300820096,0.9789517556294535,0.5629111052056386,0.34266072476131637,-0.015584246922618925,0.7425605053245007
